doc #,high_score
314,0.315527
315,0.317679
316,0.486430
317,0.304823
318,0.228638
319,0.301110
320,0.307973
321,0.323282
322,0.217913
323,0.274205
324,0.305007
325,0.283110
326,0.411225
327,0.316642
328,0.247192
329,0.270890
330,0.359698
331,0.315897
332,0.316642
333,0.261967
334,0.238912
335,0.131564
336,0.269269
337,0.343104
338,0.722216
339,0.411636
340,0.235434
341,0.360060
342,0.306200
343,0.297160
344,0.509097
345,0.200184
346,0.314174
347,0.317679
348,0.353920
349,0.253189
350,0.315897
351,0.530585
352,0.241886
353,0.179746
354,0.133548
355,0.636770
356,0.273777
357,0.228852
358,0.208384
359,0.745338
360,0.480502
361,0.140521
362,0.483303
363,0.354756
364,0.404193
365,0.480502
366,0.301170
367,0.491880
368,0.482605
369,0.491880
370,0.378431
371,0.504399
372,0.228557
373,0.406368
374,0.270310
375,0.505901
376,0.312032
377,0.234264
378,0.478955
379,0.290206
380,0.197342
381,0.336749
382,0.213515
383,0.306621
384,0.426128
385,0.435839
386,0.216294
387,0.228557
388,0.273990
389,0.464647
390,0.631315
391,0.305189
392,0.499401
393,0.243325
394,0.464647
395,0.540963
396,0.337823
397,0.692744
398,0.306621
399,0.720462
400,0.187192
401,0.302795
402,0.394224
403,0.215864
404,0.505901
405,0.342536
406,0.243930
407,0.264370
408,0.167725
409,0.371985
410,0.592077
411,0.332081
412,0.482315
413,0.204970
414,0.263102
415,0.322010
416,0.435470
417,0.368354
418,0.475643
419,0.346013
420,0.483303
421,0.494413
422,0.332656
423,0.411347
424,0.147331
425,0.360015
426,0.201011
427,0.293199
428,0.525155
429,0.437246
430,0.279557
431,0.385009
432,0.711626
433,0.453062
434,0.321413
435,0.254464
436,0.378494
437,0.339494
438,0.479741
439,0.220570
440,0.293329
441,0.348263
442,0.154025
443,0.395383
444,0.143828
445,0.327909
446,0.295237
447,0.489779
448,0.412869
449,0.213653
450,0.277200
451,0.234078
452,0.297929
453,0.312549
454,0.357327
455,0.317581
456,0.481683
457,0.400499
458,0.323746
459,0.424198
460,0.451954
461,0.163104
462,0.309203
463,0.293329
464,0.241472
465,0.156174
466,0.286227
467,0.374582
468,0.279240
469,0.728962
470,0.179401
471,0.258099
472,0.138797
473,0.269407
474,0.637930
475,0.327475
476,0.245214
477,0.366946
478,0.535989
479,0.470398
480,0.404193
481,0.316907
482,0.222844
483,0.594983
484,0.542788
485,0.285499
486,0.358644
487,0.246791
488,0.637930
489,0.291822
490,0.604100
491,0.880664
492,0.176521
493,0.411636
494,0.329417
495,0.283302
496,0.707447
497,0.341596
498,0.282070
499,0.366453
500,0.337469
