numOpenRequirements,numInProgressRequirements,ticket,numDevelopers,numDevelopedRequirementsBeforeThisInProgress,numDescOpen,numDescInProgress,numDescResolved,numDescReopened,numDescClosed,numCommitsOpen,numCommitsInProgress,numCommitsResolved,numCommitsReopened,numCommitsClosed,numOpenWhileThisOpen,numInProgressWhileThisOpen,numResolvedWhileThisOpen,numReopenedWhileThisOpen,numClosedWhileThisOpen,numOpenWhenInProgress,numInProgressWhenInProgress,numReopenedWhenInProgress,numResolvedWhenInProgress,numClosedWhenInProgress,Open|Closed,In Progress|Open,Resolved|Reopened,Resolved|Closed,Closed|Open,Closed|Reopened,In Progress|Resolved,In Progress|Reopened,Reopened|In Progress,Resolved|In Progress,Open|In Progress,Reopened|Open,Open|Reopened,Resolved|Open,Reopened|Resolved,Closed|Resolved,Reopened|Closed,Open|Resolved,In Progress|Closed,Closed|In Progress
197,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TIKA-1984,3,NA,0,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1962,3,NA,0,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1940,3,NA,0,0,0,0,0,0,0,0,0,0,185,35,131,11,62,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1913,1,145,0,0,0,0,0,3,0,0,0,0,186,36,132,11,63,38,4,1,83,62,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,TIKA-1894,1,NA,0,0,0,0,0,2,0,3,0,0,183,35,130,11,62,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
,,TIKA-1876,1,141,0,0,0,0,0,6,1,0,0,0,183,34,129,11,62,39,4,1,79,61,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,TIKA-1843,3,NA,0,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1731,3,NA,1,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1727,3,NA,0,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1724,3,NA,1,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1699,1,139,1,0,0,0,0,0,5,2,0,0,178,33,127,10,61,36,4,2,78,60,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
,,TIKA-1697,3,NA,0,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1696,1,144,0,0,0,0,0,1,0,0,0,0,186,35,131,11,63,39,4,1,82,62,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
